date,state,fips,measure,data_quality_grade,positive tests,day,days_elapsed,yr,week,week_year,month_lbl,month,floor_month,pos_test_7da
2020-07-02,SC,45,positive,A,39701,2,120,2020,27,2020-06-28,Jul,7,2020-06-01,39775.42857142857
2020-07-02,SD,46,positive,B,6893,2,117,2020,27,2020-06-28,Jul,7,2020-06-01,6895.428571428572
2020-07-02,TN,47,positive,B,46890,2,119,2020,27,2020-06-28,Jul,7,2020-06-01,46899.142857142855
2020-07-02,TX,48,positive,B,175977,2,120,2020,27,2020-06-28,Jul,7,2020-06-01,175371
2020-07-02,UT,49,positive,A+,23270,2,117,2020,27,2020-06-28,Jul,7,2020-06-01,23318.14285714286
2020-07-02,VA,51,positive,A+,63735,2,119,2020,27,2020-06-28,Jul,7,2020-06-01,63880.57142857143
2020-07-02,VT,50,positive,B,1227,2,118,2020,27,2020-06-28,Jul,7,2020-06-01,1225.142857142857
2020-07-02,WA,53,positive,B,33435,2,162,2020,27,2020-06-28,Jul,7,2020-06-01,33491.42857142857
2020-07-02,WI,55,positive,A+,32809,2,120,2020,27,2020-06-28,Jul,7,2020-06-01,32872.42857142857
2020-07-02,WV,54,positive,B,3053,2,118,2020,27,2020-06-28,Jul,7,2020-06-01,3041.285714285714
2020-07-02,WY,56,positive,B,1550,2,117,2020,27,2020-06-28,Jul,7,2020-06-01,1546.142857142857
2020-07-01,AK,02,positive,A,978,1,117,2020,27,2020-06-28,Jul,7,2020-06-01,985.1428571428571
2020-07-01,AL,01,positive,B,38962,1,116,2020,27,2020-06-28,Jul,7,2020-06-01,39208.71428571428
2020-07-01,AR,05,positive,A,21197,1,117,2020,27,2020-06-28,Jul,7,2020-06-01,21349.571428571428
2020-07-01,AZ,04,positive,A+,84092,1,119,2020,27,2020-06-28,Jul,7,2020-06-01,83654.85714285714
2020-07-01,CA,06,positive,B,232657,1,119,2020,27,2020-06-28,Jul,7,2020-06-01,232363.14285714287
2020-07-01,CO,08,positive,A,32715,1,118,2020,27,2020-06-28,Jul,7,2020-06-01,32793.57142857143
2020-07-01,CT,09,positive,B,46572,1,116,2020,27,2020-06-28,Jul,7,2020-06-01,46547.28571428572
2020-07-01,DC,11,positive,A+,10365,1,118,2020,27,2020-06-28,Jul,7,2020-06-01,10357.714285714286
2020-07-01,DE,10,positive,A+,11510,1,117,2020,27,2020-06-28,Jul,7,2020-06-01,11605.142857142857
2020-07-01,FL,12,positive,A,158997,1,119,2020,27,2020-06-28,Jul,7,2020-06-01,162371.2857142857
2020-07-01,GA,13,positive,A,84237,1,119,2020,27,2020-06-28,Jul,7,2020-06-01,84810.85714285714
2020-07-01,HI,15,positive,D,917,1,116,2020,27,2020-06-28,Jul,7,2020-06-01,919.2857142857143
2020-07-01,IA,19,positive,A+,29451,1,117,2020,27,2020-06-28,Jul,7,2020-06-01,29629.714285714286
2020-07-01,ID,16,positive,A,6117,1,116,2020,27,2020-06-28,Jul,7,2020-06-01,6066.285714285715
2020-07-01,IL,17,positive,A,145066,1,119,2020,27,2020-06-28,Jul,7,2020-06-01,145162.14285714287
2020-07-01,IN,18,positive,A+,45952,1,117,2020,27,2020-06-28,Jul,7,2020-06-01,46062.57142857143
2020-07-01,KS,20,positive,A,14990,1,117,2020,27,2020-06-28,Jul,7,2020-06-01,14891.714285714286
2020-07-01,KY,21,positive,B,15842,1,117,2020,27,2020-06-28,Jul,7,2020-06-01,15839.42857142857
2020-07-01,LA,22,positive,B,60178,1,116,2020,27,2020-06-28,Jul,7,2020-06-01,59961.28571428572
2020-07-01,MA,25,positive,A+,109143,1,111,2020,27,2020-06-28,Jul,7,2020-06-01,109180.57142857143
2020-07-01,MD,24,positive,A,67918,1,118,2020,27,2020-06-28,Jul,7,2020-06-01,68033.28571428571
2020-07-01,ME,23,positive,A,3294,1,116,2020,27,2020-06-28,Jul,7,2020-06-01,3293.5714285714284
2020-07-01,MI,26,positive,A+,71089,1,122,2020,27,2020-06-28,Jul,7,2020-06-01,71202.85714285714
2020-07-01,MN,27,positive,A,36716,1,117,2020,27,2020-06-28,Jul,7,2020-06-01,36698.142857142855
2020-07-01,MO,29,positive,B,21927,1,116,2020,27,2020-06-28,Jul,7,2020-06-01,21917.714285714286
2020-07-01,MS,28,positive,A,27900,1,116,2020,27,2020-06-28,Jul,7,2020-06-01,27974.285714285714
2020-07-01,MT,30,positive,C,1016,1,116,2020,27,2020-06-28,Jul,7,2020-06-01,1020.4285714285714
2020-07-01,NC,37,positive,A,66513,1,119,2020,27,2020-06-28,Jul,7,2020-06-01,66692.28571428571
2020-07-01,ND,38,positive,D,3615,1,116,2020,27,2020-06-28,Jul,7,2020-06-01,3626.1428571428573
2020-07-01,NE,31,positive,B,19177,1,118,2020,27,2020-06-28,Jul,7,2020-06-01,19187.85714285714
2020-07-01,NH,33,positive,B,5782,1,119,2020,27,2020-06-28,Jul,7,2020-06-01,5785.714285714285
2020-07-01,NJ,34,positive,A+,171928,1,118,2020,27,2020-06-28,Jul,7,2020-06-01,172025.7142857143
2020-07-01,NM,35,positive,B,12147,1,117,2020,27,2020-06-28,Jul,7,2020-06-01,12161.285714285714
2020-07-01,NV,32,positive,A+,19101,1,118,2020,27,2020-06-28,Jul,7,2020-06-01,19233.85714285714
2020-07-01,NY,36,positive,A,394079,1,119,2020,27,2020-06-28,Jul,7,2020-06-01,394346.5714285714
2020-07-01,OH,39,positive,B,52865,1,118,2020,27,2020-06-28,Jul,7,2020-06-01,52902
2020-07-01,OK,40,positive,A+,14112,1,116,2020,27,2020-06-28,Jul,7,2020-06-01,14183.42857142857
2020-07-01,OR,41,positive,A+,8931,1,119,2020,27,2020-06-28,Jul,7,2020-06-01,8990.142857142857
2020-07-01,PA,42,positive,A+,87242,1,117,2020,27,2020-06-28,Jul,7,2020-06-01,87360.28571428571
2020-07-01,RI,44,positive,A+,16853,1,122,2020,27,2020-06-28,Jul,7,2020-06-01,16859.14285714286
2020-07-01,SC,45,positive,A,37919,1,119,2020,27,2020-06-28,Jul,7,2020-06-01,38128.71428571428
2020-07-01,SD,46,positive,B,6826,1,116,2020,27,2020-06-28,Jul,7,2020-06-01,6840.857142857143
2020-07-01,TN,47,positive,B,45315,1,118,2020,27,2020-06-28,Jul,7,2020-06-01,45290.71428571428
2020-07-01,TX,48,positive,B,168062,1,119,2020,27,2020-06-28,Jul,7,2020-06-01,168726.57142857142
2020-07-01,UT,49,positive,A+,22716,1,116,2020,27,2020-06-28,Jul,7,2020-06-01,22767.85714285714
2020-07-01,VA,51,positive,A+,63203,1,118,2020,27,2020-06-28,Jul,7,2020-06-01,63307.42857142857
2020-07-01,VT,50,positive,B,1210,1,117,2020,27,2020-06-28,Jul,7,2020-06-01,1218.4285714285713
2020-07-01,WA,53,positive,B,32824,1,161,2020,27,2020-06-28,Jul,7,2020-06-01,32942.42857142857
