date,state,fips,measure,data_quality_grade,COVID tracking deaths,day,days_elapsed,yr,week,week_year,month_lbl,month,floor_month
2020-07-13,MT,30,death,C,32,13,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,NC,37,death,A,1510,13,131,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,ND,38,death,D,78,13,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,NE,31,death,B,285,13,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,NH,33,death,B,391,13,131,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,NJ,34,death,A+,15560,13,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,NM,35,death,B,545,13,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,NV,32,death,A+,593,13,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,NY,36,death,A,24989,13,131,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,OH,39,death,B,3064,13,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,OK,40,death,A+,424,13,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,OR,41,death,A+,237,13,131,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,PA,42,death,A+,6911,13,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,RI,44,death,A+,984,13,134,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,SC,45,death,A,972,13,131,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,SD,46,death,B,109,13,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,TN,47,death,A,749,13,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,TX,48,death,B,3235,13,131,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,UT,49,death,A+,216,13,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,VA,51,death,A+,1968,13,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,VT,50,death,B,56,13,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,WA,53,death,B,1438,13,173,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,WI,55,death,A+,827,13,131,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,WV,54,death,B,96,13,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-13,WY,56,death,B,21,13,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,AK,02,death,A,17,12,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,AL,01,death,B,1121,12,127,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,AR,05,death,A,321,12,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,AZ,04,death,A+,2237,12,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,CA,06,death,B,7017,12,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,CO,08,death,A,1586,12,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,CT,09,death,B,4348,12,127,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,DC,11,death,A+,568,12,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,DE,10,death,A+,517,12,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,FL,12,death,A,4346,12,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,GA,13,death,A,3001,12,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,HI,15,death,D,19,12,127,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,IA,19,death,A+,750,12,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,ID,16,death,A,102,12,127,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,IL,17,death,A,7388,12,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,IN,18,death,A+,2760,12,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,KS,20,death,A,284,12,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,KY,21,death,B,625,12,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,LA,22,death,B,3416,12,127,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,MA,25,death,A+,8325,12,122,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,MD,24,death,A,3319,12,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,ME,23,death,A+,114,12,127,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,MI,26,death,A+,6314,12,133,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,MN,27,death,A,1540,12,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,MO,29,death,B,1069,12,127,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,MS,28,death,A,1249,12,127,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,MT,30,death,C,29,12,127,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,NC,37,death,A,1503,12,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,ND,38,death,D,78,12,127,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,NE,31,death,B,285,12,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,NH,33,death,B,391,12,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,NJ,34,death,A+,15541,12,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,NM,35,death,B,543,12,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,NV,32,death,A+,593,12,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,NY,36,death,A,24979,12,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,OH,39,death,B,3058,12,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,OK,40,death,A+,422,12,127,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,OR,41,death,A+,234,12,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,PA,42,death,A+,6904,12,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,RI,44,death,A+,976,12,133,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,SC,45,death,A,961,12,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,SD,46,death,B,109,12,127,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,TN,47,death,A,741,12,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,TX,48,death,B,3192,12,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,UT,49,death,A+,215,12,127,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,VA,51,death,A+,1966,12,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,VT,50,death,B,56,12,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,WA,53,death,B,1424,12,172,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,WI,55,death,A+,827,12,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,WV,54,death,B,96,12,128,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-12,WY,56,death,B,21,12,127,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-11,AK,02,death,A,17,11,127,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,AL,01,death,B,1114,11,126,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,AR,05,death,A,313,11,127,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,AZ,04,death,A+,2151,11,129,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,CA,06,death,B,6945,11,129,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,CO,08,death,A,1586,11,128,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,CT,09,death,B,4348,11,126,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,DC,11,death,A+,568,11,128,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,DE,10,death,A+,517,11,127,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,FL,12,death,A,4301,11,129,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,GA,13,death,A,2996,11,129,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,HI,15,death,D,19,11,126,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,IA,19,death,A+,748,11,127,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,ID,16,death,A,101,11,126,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,IL,17,death,A,7369,11,129,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,IN,18,death,A+,2756,11,127,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,KS,20,death,A,284,11,127,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,KY,21,death,B,622,11,127,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,LA,22,death,B,3403,11,126,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,MA,25,death,A+,8310,11,121,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,MD,24,death,A,3310,11,128,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,ME,23,death,A+,112,11,126,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,MI,26,death,A+,6313,11,132,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,MN,27,death,A,1537,11,127,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,MO,29,death,B,1069,11,126,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,MS,28,death,A,1230,11,126,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,MT,30,death,C,29,11,126,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,NC,37,death,A,1499,11,129,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,ND,38,death,D,78,11,126,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,NE,31,death,B,286,11,128,2020,28,2020-07-05,Jul,7,2020-07-01
2020-07-11,NH,33,death,B,390,11,129,2020,28,2020-07-05,Jul,7,2020-07-01
