State,polygon,long,lat
New South Wales,2,143.4464111,-35.1899223
New South Wales,2,143.4289246,-35.1940765
New South Wales,2,143.3963776,-35.1931152
New South Wales,2,143.3819122,-35.1728668
New South Wales,2,143.3904877,-35.1447601
New South Wales,2,143.374054,-35.1229172
New South Wales,2,143.3469849,-35.1047783
New South Wales,2,143.3413544,-35.0824928
New South Wales,2,143.3480987,-35.0625954
New South Wales,2,143.3350067,-35.0530586
New South Wales,2,143.3320618,-35.023159
New South Wales,2,143.3358307,-35.0029869
New South Wales,2,143.3177643,-34.9863701
New South Wales,2,143.321579,-34.942791
New South Wales,2,143.3427887,-34.9325333
New South Wales,2,143.3213959,-34.8884582
New South Wales,2,143.3391113,-34.8814354
New South Wales,2,143.3486786,-34.8644104
New South Wales,2,143.3416748,-34.8453064
New South Wales,2,143.3516693,-34.8382034
New South Wales,2,143.3471069,-34.8050308
New South Wales,2,143.3515472,-34.7960053
New South Wales,2,143.3200378,-34.7911873
New South Wales,2,143.3074951,-34.7800636
New South Wales,2,143.2841644,-34.7953377
New South Wales,2,143.2735443,-34.7770157
New South Wales,2,143.2542877,-34.7666473
New South Wales,2,143.2429352,-34.7468262
New South Wales,2,143.228775,-34.7477875
New South Wales,2,143.2018585,-34.734375
New South Wales,2,143.1917572,-34.7127838
New South Wales,2,143.1698151,-34.7199669
New South Wales,2,143.164917,-34.7000122
New South Wales,2,143.1474304,-34.7098236
New South Wales,2,143.1337891,-34.7010498
New South Wales,2,143.0899963,-34.7012863
New South Wales,2,143.0655212,-34.688324
New South Wales,2,143.0548248,-34.6988563
New South Wales,2,143.0371551,-34.7012253
New South Wales,2,143.01474,-34.6948624
New South Wales,2,143.0129395,-34.6710434
New South Wales,2,142.9906921,-34.6675949
New South Wales,2,142.9763336,-34.6943283
New South Wales,2,142.9633789,-34.6767082
New South Wales,2,142.9245605,-34.6498985
New South Wales,2,142.9010162,-34.655674
New South Wales,2,142.8993683,-34.6688309
New South Wales,2,142.8740387,-34.6734047
New South Wales,2,142.8615112,-34.628212
New South Wales,2,142.839447,-34.6235046
New South Wales,2,142.8355713,-34.611126
New South Wales,2,142.8053742,-34.6086197
New South Wales,2,142.8044128,-34.5993004
New South Wales,2,142.7866364,-34.584259
New South Wales,2,142.8100891,-34.5607185
New South Wales,2,142.7880859,-34.5584106
New South Wales,2,142.7786865,-34.5740852
New South Wales,2,142.7606201,-34.579731
New South Wales,2,142.7635193,-34.5967369
New South Wales,2,142.7464447,-34.6030617
New South Wales,2,142.7306671,-34.5989761
New South Wales,2,142.6993866,-34.6017418
New South Wales,2,142.7075501,-34.6188774
New South Wales,2,142.689209,-34.6525459
New South Wales,2,142.7086029,-34.6621666
New South Wales,2,142.6789246,-34.6801529
New South Wales,2,142.6910858,-34.703804
New South Wales,2,142.6782227,-34.7226562
New South Wales,2,142.6317749,-34.733593
New South Wales,2,142.61831660000001,-34.7287521
New South Wales,2,142.6192322,-34.754509
New South Wales,2,142.6463928,-34.7633934
New South Wales,2,142.6322174,-34.7841339
New South Wales,2,142.6157837,-34.7852593
New South Wales,2,142.5978546,-34.7741051
New South Wales,2,142.5261841,-34.7598152
